volume,nr_RG,text
2,370,"Albertus archiepiscopus etc. Magdeburg et cives civitatis Magdeburgensis
concessio indulgentie iubilei visitantibus ecclesiam maiorem, domum fratrum heremitarum sancti Augustini Magdeburgensem, ecclesiam sancti Johannis in Monte extra muros Magdeburgensem, ecclesiam sanctorum Petri et Pauli in antiqua civitate Magdeburgensi, oblationum abbati monasterii sancti Petri de Percipiano ordinis sancti Benedicti Terdonensis diocesis nuntio et Bartholomeo de Turchiis civi Lucano assignatarum medietas in fabricam basilicarum urbis convertatur, altera medietas in fabricam dicte ecclesie Magdeburgensis 26 apr. 1394 L 1 103v et V 314 236v.
et Benedictus abbas sancti Petri de Percipiano ordinis sancti Benedicti Terdonensis diocesis: concessio licentie, quod alter ipsorum altero absente litteras de indulgentia iubilei in provincia Magdeburgensi possit executioni mandare 26 apr. 1396 V 315 189.
conservatoria 17 dec. 1396 L 45 122v.
mandatum evocandi canonicos Magdeburgenses qui ratione indulgentie iubilei contra ordinationem pape confessoribus constitutis quattuor cistas in ecclesia maiori, domo fratrum heremitarum sancti Augustini, ecclesia sancti Johannis in Monte extra muros, ecclesia sanctorum Petri et Pauli in antiqua civitate Magdeburgensi deposuerunt et Johannem de Embeke, Gebehardum de Glina, Lippoldum de Stembeke et Beltramum de Velthem receptores pecuniarum deputaverunt Ipsi et Heydo de Byeren scolasticus, Walterus de Kokeritz cellerarius, Meynhardus de Weringerade inter se divisionem fecerunt.
deinde post obitum Benedicti abbatis monasterii sancti Petri de Percipiano ordinis sancti Benedicti Terdonensis diocesis ad ipsius hospitium accedentes aurum et argentum etc. rapuerunt et Michaelem de Paganis depositarium ad se vocatum incarceraverunt 21 dec. 1396 V 315 164.
mandatum assignandi pecunias a capitulo exactas Michaeli de Paganis de Luca seu Ludovico de Ballionibus de Perusia 10 febr. 1397 V 315 187.
revocatio mandati de Johanne de Embeke, Ghebehardo de Glina, Lippoldo de Stembeke, Beltramo de Velthem, Meynardo de Wernigerode, Heydone de Byeren scolastico, Waltero de Kokeritz cellerario canonicis Magdeburgensibus evocandis, quia ob utilitatem basilicarum urbis se egisse proposuerunt 22 iuri. 97 V 315 248.
confirmatio instrumenti de confirmatione oppignorationis medietatis castri de Saltza a quondam Ludovico Magdeburgensi tunc Maguntino archiepiscopo Balthasari. Thuringiae landgravio, Wilhelmo et quondam Frederico Misniae marchionibus fratribus suis facte Albertus testimonium de guerra inter Ludovicum et Adolfum archiepiscopos Maguntinos facta a Cristiano episcopo Nuemburgensi, Henrico episcopo Merseburgensi, Johanne in Swartzpurg comite,"
2,645,"Aschersleve
ecclesia domus fratrum minorum opidi Halberstadensis diocesis: indulgentia ad instar ecclesie sancte Marie in Portiuncula 5 iul. 1401 L 94 199."
2,878,"Boldensberg
capella beate Marie Brandenburgensis diocesis: indulgentia 5 dec. 1400 L 90 106v."
2,913,"Brunswic
proconsules etc. opidi Halberstadensis diocesis: privilegium de non evocando 19 mai. 1390 R 103.
proconsules etc. opidi Halberstadensis diocesis: revocatio privilegii de non evocando 27 dec. 1390 L 12 139.
proconsules etc. opidi Halberstadensis diocesis: mandatum, ut archidiaconi et officiales vicarios in dicto opido instituant 8 aug. 1391 L 10 231.
proconsules etc. opidi Halberstadensis diocesis: mandatum ut iam antea Rolando decano ecclesie sancti Blasii in dicto opido publ. constit. Provide attendentes "" a Bonifatio VIII papa fact. 7 mai. 1400 L 79 224. ""
mensa decani etc. ecclesie sancti Blasii Halberstadensis diocesis: incorporatio parrochialis ecclesie sancti Odalrici Brunswicensis. 22 apr. 1399 L 69 185v.
parrochialis ecclesia sancte Catherine Halberstadensis diocesis: indulgentia ad instar ecclesie sancti Marci de Venetiis 12 dec. 1399 L 82 175."
2,916,"Budissin
ecclesia sancti Petri opidi Misnensis diocesis: de interdicto loco 7 mai. 1402 R 331v.
ecclesia beate Marie domus fratrum minorum Misnensis diocesis: indulgentia 29 dec. 1401 L 100 153v.
ecclesia beate Marie domus fratrum minorum Misnensis diocesis: indulgentia 13 ian. 1402 L 100 158v."
2,919,"Bukow
villa prope Gazelitz Brandenburgensis diocesis parrochialis ecclesia: indulgentia 17 dec. 1401 L 100 110v."
2,1462,"Dresden
capella sancte Crucis in opido Misnensis diocesis: indulgentia 28 aug. 1393 L 30 252.
capella sancte Crucis in opido Misnensis diocesis: indulgentia 30 apr. 1399 L 69 136."
2,1596,"Elizabeth quondam marchionissa Misnensis
indulgentia pro eis qui intersunt officiis et missis ab ea in ecclesia Misnensi fundatis 24 iul. 1402 L 104 234."
2,1682,"Ernfridestorff
parrochialis ecclesia sanctorum Nicolai Erasmi et Catherine Misnensis diocesis: indulgentia 12 apr. 1400 L 72 98."
2,2229,"Gorlicz
ecclesia beate Marie domus fratrum minorum Misnensis diocesis: indulgentia 29 dec. 1401 L 100 114v."
2,2322,"Grevenhayn
parrochialis ecclesia sancti Nicolai prope monasterium Cisterciensis ordinis Nuemburgensis diocesis: indulgentia ad instar ecclesie beate Marie Hamburgensis Bremensis diocesis 15 sept. 1395 L 36 198."
2,2411,"Wilhelmus marchio Misnensis
licentia visitandi omnia monasteria monialium in dominio eius et in ecclesia curie Retznitz ordinis sancte Clare Bambergensis diocesis 28 aug. 1393 L 30 327v.
concessio iuris patronatus 4 canonicatuum et prebende maioris in ecclesia Misnensi in castro Misnensi 12 dec. 1399 L 82 176.
dispensatio super carnis esu pro abbatibus monasterii Antiquecelle et monasterii Buech Cisterciensis ordinis Misnensis diocesis 26 febr. 1400 L 80 88v.
licentia fundandi collegium cum decanatu et canonicis apud capellam sancte Crucis in loco de Dresden Misnensis diocesis et concessio dicto collegio parrochialis ecclesie beate Marie dicti loci ad ecclesiam Misnensem pertinentis marchio donavit ecclesie Misnensi ius patronatus parrochialium ecclesiarum in Ebirspach et sancti Nicolai in Friberg dicte diocesis 1 dec. 1400 L 90 100.
mandatum confirmationis permutationis facte inter ipsum et Mechtildem abbatissam monasterii Throni sancte Marie in Nymptzschin Merseburgensis diocesis de iure patronatus parrochialis ecclesie in Turgaw dicte diocesis et de parrochiali ecclesia in Novacuria dicte diocesis 1 dec. 1400 L 90 101.
licentia eligendi confessorem 31 mart. 1401 L 91 211.
et Elisabeth eius uxor: indulgentia pro eis qui reliquia in ecclesia Misnensi ab ipsis collocata visitant 22 nov. 1401 L 100 57v.
indulgentia pro omnibus qui missis ad altare in choro ecclesie Misnensis a marchione fundatum celebrandis intersunt 7 febr. 1403 L 108 205."
2,2477,"Hadmersleve
ecclesia sanctorum Petri et Pauli monasterii monialium ordinis sancti Benedicti Halberstadensis diocesis: indulgentia ad instar ecclesie sancti Marci Venetiarum 10 ian. 1399 L 71 123."
2,2495,"Hamburg
opidum Bremensis diocesis proconsules etc.: de altari portatili pro turri Nigeo alias Nigewerk iuxta portum fluminis Alba et prope mare Oceanum situato 10 nov. 1390 L 10 191.
opidum Bremensis diocesis proconsules etc.: de altari portatili in castro Rizebutel dicte diocesis 29 mart. 1395 R 163v.
ecclesia conventus ordinis predicatorum: indulgentia ad instar ecclesie dicti ordinis opidi Wismer. Razeburgensis diocesis 1 iul. 1401 L 89 142v."
2,3398,"Hesewik
ecclesia beate Marie Halberstadensis diocesis: indulgentia 20 mart. 1403 L 113 151v."
